"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2025-04-30 23:39:40","2025-05-01 00:24:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","45m","No","","Application: Disk 1 D:"
"Disaster","2025-04-30 23:35:38","2025-04-30 23:37:38","RESOLVED","(HEP) SERVIDOR UNIVAPHUBINTCONS01","ICMP PING is unavailable","2m","No","Actions (4)","Application: ICMP"
"Average","2025-04-30 23:29:37","2025-04-30 23:29:53","RESOLVED","(CTEC) SERVIDOR HEPPBIREP01","0 C:: Disk write request responses are too high (write > 0.02s for 15m)","16s","No","","Application: Disk 0 C:"
"Warning","2025-04-30 23:23:01","2025-05-01 00:03:01","RESOLVED","Zabbix Proxy Primario","More than 100 items having missing data for more than 10 minutes","40m","No","","Application: Zabbix proxy"
"Disaster","2025-04-30 23:18:10","2025-04-30 23:58:40","RESOLVED","(CTEC) SERVIDOR COP-SCCM02","Zabbix agent is not available (or nodata for 30m)","40m 30s","No","Actions (4)","Application: Status"
"Warning","2025-04-30 23:15:29","2025-05-01 00:15:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: Too many items having missing data for more than 10 minutes","1h","No","","Application: Zabbix server"
"Disaster","2025-04-30 23:14:47","2025-04-30 23:21:46","RESOLVED","(CTEC) SERVIDOR ILUPIAMSQL03","ICMP PING is unavailable","6m 59s","No","Actions (4)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"Disaster","2025-04-30 23:14:40","2025-04-30 23:19:39","RESOLVED","(CTEC) SERVIDOR C3P-IAMAPIM01","ICMP PING is unavailable","4m 59s","No","Actions (4)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"Disaster","2025-04-30 23:14:38","2025-04-30 23:26:37","RESOLVED","(CTEC) SERVIDOR ILUPGW01","ICMP PING is unavailable","11m 59s","No","Actions (2)","Application: ICMP"
"Average","2025-04-30 23:13:40","2025-04-30 23:17:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","4m","No","","Application: Disk 1 D:"
"Average","2025-04-30 23:11:23","2025-04-30 23:17:46","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","0 C:: Disk write request responses are too high (write > 0.02s for 15m)","6m 23s","No","","Application: Disk 0 C:"
"Average","2025-04-30 23:11:22","2025-04-30 23:11:43","RESOLVED","(CTEC) SERVIDOR HEPPBIEIM01","4 G:: Disk is overloaded (util > 92% for 15m)","21s","No","","Application: Disk 4 G:"
"Average","2025-04-30 23:11:21","2025-04-30 23:17:38","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","0 C:: Disk read request responses are too high (read > 0.02s for 15m","6m 17s","No","","Application: Disk 0 C:"
"Warning","2025-04-30 23:07:46","2025-04-30 23:12:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
